datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count
20/01/2011 00:00,1,0,1,1,10.66,11.365,56,26.0027,3,13,16
20/01/2011 01:00,1,0,1,1,10.66,13.635,56,0,8,32,40
20/01/2011 02:00,1,0,1,1,10.66,13.635,56,0,5,27,32
20/01/2011 03:00,1,0,1,1,10.66,12.88,56,11.0014,3,10,13
20/01/2011 04:00,1,0,1,1,10.66,12.88,56,11.0014,0,1,1
20/01/2011 05:00,1,0,1,1,9.84,11.365,60,15.0013,0,1,1
20/01/2011 06:00,1,0,1,1,9.02,10.605,60,15.0013,2,0,2
20/01/2011 07:00,1,0,1,1,9.02,10.605,55,15.0013,1,2,3
20/01/2011 08:00,1,0,1,1,9.02,10.605,55,19.0012,1,7,8
20/01/2011 09:00,1,0,1,2,9.84,11.365,52,15.0013,8,6,14
20/01/2011 10:00,1,0,1,1,10.66,11.365,48,19.9995,12,24,36
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
